1728541068.021114, 0
1728541068.046718, 1
1728541068.063567, 0
1728541068.078366, 0
1728541068.090216, 1
1728541068.103486, 6
1728541068.115465, 4
1728541068.127833, 9
1728541068.144074, 14
1728541068.155854, 17
1728541068.167559, 17
1728541068.180134, 19
1728541068.193584, 20
1728541068.206720, 20
1728541068.223784, 20
1728541068.235816, 19
1728541068.247834, 20
1728541068.259645, 19
1728541068.272575, 20
1728541068.285074, 19
1728541068.299838, 19
1728541068.312842, 19
1728541068.324553, 19
1728541068.336178, 19
1728541068.348970, 20
1728541068.363190, 18
1728541068.375436, 20
1728541068.388482, 18
1728541068.400095, 19
1728541068.411929, 18
1728541068.423656, 18
1728541068.436789, 20
1728541068.449152, 16
1728541068.464638, 18
1728541068.477095, 19
1728541068.489115, 19
1728541068.501131, 14
1728541068.513303, 15
1728541068.528072, 17
1728541068.541042, 16
1728541068.552823, 18
1728541068.564795, 13
1728541068.577032, 12
1728541068.589815, 14
1728541068.602521, 12
1728541068.614252, 12
1728541068.626288, 12
1728541068.638278, 13
1728541068.651967, 12
1728541068.669787, 13
1728541068.683031, 12
1728541068.695192, 12
1728541068.707530, 13
1728541068.721132, 14
1728541068.735811, 14
1728541068.749329, 14
1728541068.761483, 14
1728541068.774017, 14
1728541068.786279, 15
1728541068.801389, 14
1728541068.814944, 14
1728541068.826834, 14
1728541068.838617, 15
1728541068.850489, 14
1728541068.864624, 15
1728541068.878059, 14
1728541068.891646, 15
1728541068.906550, 14
1728541068.920792, 14
1728541068.936389, 15
1728541068.949071, 15
1728541068.963078, 16
1728541068.975867, 14
1728541068.989170, 16
1728541069.002384, 15
1728541069.014236, 16
1728541069.026434, 14
1728541069.038982, 17
1728541069.051065, 17
1728541069.064693, 17
1728541069.082940, 16
1728541069.097929, 17
1728541069.109839, 17
1728541069.121605, 16
1728541069.133362, 16
1728541069.146856, 18
1728541069.159654, 16
1728541069.173820, 17
1728541069.188731, 17
1728541069.205327, 18
1728541069.220024, 17
1728541069.232034, 18
1728541069.244362, 16
1728541069.256385, 18
1728541069.269002, 19
1728541069.281342, 19
1728541069.297417, 18
1728541069.310310, 19
1728541069.322402, 19
1728541069.334347, 18
1728541069.347190, 18
1728541069.361287, 18
1728541069.376367, 19
1728541069.392744, 18
1728541069.407028, 18
1728541069.419208, 18
1728541069.431305, 18
1728541069.443363, 18
1728541069.457591, 19
1728541069.472084, 17
1728541069.486010, 16
1728541069.502908, 16
1728541069.515691, 9
1728541069.531680, 7
1728541069.545018, 6
1728541069.557136, 6
1728541069.569195, 6
1728541069.582729, 7
1728541069.595856, 7
1728541069.607952, 8
1728541069.619689, 7
1728541069.632611, 9
1728541069.644895, 8
1728541069.662941, 9
1728541069.675678, 8
1728541069.687705, 9
1728541069.699476, 9
1728541069.711951, 9
1728541069.723958, 8
1728541069.738608, 9
1728541069.750442, 10
1728541069.762404, 10
1728541069.774608, 10
1728541069.787546, 10
1728541069.803882, 10
1728541069.815861, 14
1728541069.827749, 12
1728541069.839737, 12
1728541069.853650, 10
1728541069.867018, 11
1728541069.882109, 12
1728541069.895353, 11
1728541069.907439, 12
1728541069.919436, 12
1728541069.931520, 11
1728541069.943488, 11
1728541069.955703, 13
1728541069.970898, 12
1728541069.984068, 12
