------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.1.11 port 39890 connected with 10.0.2.22 port 5001 (icwnd/mss/irtt=14/1448/40895)
[ ID] Interval       Transfer     Bandwidth
[  1] 17.0000-17.5000 sec   445 KBytes  7.29 Mbits/sec
[  1] 17.5000-18.0000 sec   637 KBytes  10.4 Mbits/sec
[  1] 18.0000-18.5000 sec   445 KBytes  7.29 Mbits/sec
[  1] 18.5000-19.0000 sec   637 KBytes  10.4 Mbits/sec
[  1] 19.0000-19.5000 sec   445 KBytes  7.29 Mbits/sec
[  1] 19.5000-20.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 20.0000-20.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 20.5000-21.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 21.0000-21.5000 sec   509 KBytes  8.34 Mbits/sec
[  1] 21.5000-22.0000 sec   637 KBytes  10.4 Mbits/sec
[  1] 22.0000-22.5000 sec   508 KBytes  8.33 Mbits/sec
[  1] 22.5000-23.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 23.0000-23.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 23.5000-24.0000 sec   383 KBytes  6.27 Mbits/sec
[  1] 24.0000-24.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 24.5000-25.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 25.0000-25.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 25.5000-26.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 26.0000-26.5000 sec   445 KBytes  7.29 Mbits/sec
[  1] 26.5000-27.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 27.0000-27.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 27.5000-28.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 28.0000-28.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 28.5000-29.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 29.0000-29.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 29.5000-30.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 30.0000-30.5000 sec   509 KBytes  8.34 Mbits/sec
[  1] 30.5000-31.0000 sec   636 KBytes  10.4 Mbits/sec
[  1] 31.0000-31.5000 sec   637 KBytes  10.4 Mbits/sec
[  1] 31.5000-32.0000 sec   445 KBytes  7.29 Mbits/sec
[  1] 32.0000-32.5000 sec   637 KBytes  10.4 Mbits/sec
[  1] 32.5000-33.0000 sec   445 KBytes  7.29 Mbits/sec
[  1] 33.0000-33.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 33.5000-34.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 34.0000-34.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 34.5000-35.0000 sec   255 KBytes  4.17 Mbits/sec
[  1] 35.0000-35.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 35.5000-36.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 36.0000-36.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 36.5000-37.0000 sec   573 KBytes  9.38 Mbits/sec
[  1] 37.0000-37.5000 sec   637 KBytes  10.4 Mbits/sec
[  1] 37.5000-38.0000 sec   445 KBytes  7.29 Mbits/sec
